 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
0 2 731.4801 19.9105 272.94063212 -18.379879527 -5.4262 0.1588 148.0764 21.65137 1.7180000000000002 4.19 49.90234 272.9406321000001 -18.3798795 10.0264463 9.70853901 9.19319057 0.31790728999999907 0.8332557299999994 0.5153484400000004
1 3 1764.7388 47.454 273.46904584 -17.90656773 -4.071 0.4755 42.50033 18.60985 0.802 0.99 51.75527 273.4690458 -17.9065677 10.340555199999999 10.0563765 9.60524845 0.28417869999999823 0.7353067499999995 0.4511280500000012
2 4 407.0548 56.6907 272.79657047 -18.549662387999998 -4.7725 0.2684 81.0947 20.04495 1.328 4.06 51.072559999999996 272.79657050000003 -18.5496624 99.0 99.0 99.0 0.0 0.0 0.0
3 5 85.9231 57.7598 272.6361935 -18.701039293 -6.1564 0.093 290.1153 24.851 1.4809999999999999 3.41 52.01055 272.6361935 -18.7010393 9.00399494 8.37405968 7.61007023 0.6299352599999999 1.3939247100000003 0.7639894500000004
4 6 2007.7072 78.6206 273.60514589 -17.806604628 -6.0262 0.1015 257.3169 24.0421 1.146 2.04 51.69409 273.60514589999997 -17.8066046 10.0687923 8.62269592 7.46294546 1.4460963800000002 2.60584684 1.1597504599999997
5 7 1457.0915 124.4274 273.35408094 -18.087769246 -5.2489 0.1825 125.7649 21.129839999999998 2.455 2.5 50.82095 273.3540809 -18.087769199999997 10.684094400000001 10.2897148 9.70528603 0.3943796000000006 0.9788083700000012 0.5844287700000006
6 8 647.9828 149.9285 272.96338428 -18.480825058 -4.7737 0.2682 81.18726 20.04726 1.361 2.68 50.974540000000005 272.96338430000003 -18.4808251 99.0 99.0 99.0 0.0 0.0 0.0
7 9 784.3966 178.4153 273.04545428 -18.429992198 -5.4805 0.1512 155.6685 21.67077 1.2229999999999999 2.55 50.96239 273.0454543 -18.429992199999997 99.0 99.0 99.0 0.0 0.0 0.0
8 10 1380.1602 215.8157 273.36130392 -18.167133065 -5.1999 0.1904 120.2185 21.07842 2.004 3.85 50.7971 273.3613039 -18.1671331 99.0 99.0 99.0 0.0 0.0 0.0
9 11 1573.9415 221.1581 273.46017785 -18.078659109 -3.5994 0.7254 27.527620000000002 18.38765 0.613 0.93 52.34799 273.46017789999996 -18.078659100000003 10.4977732 9.90738583 9.17434597 0.5903873699999984 1.32342723 0.7330398600000017
10 12 914.2877 237.8526 273.13979835 -18.396903654000003 -6.6147 0.068 442.4509 27.686320000000002 1.4509999999999998 2.49 50.93703 273.13979839999996 -18.3969037 8.17229462 8.13983059 8.03110409 0.032464029999999866 0.14119053000000115 0.10872650000000128
11 13 1855.4343 228.6732 273.60378916 -17.949113598 -4.8602 0.2455 87.91717 19.87761 0.893 1.02 52.08705 273.6037892 -17.949113600000004 99.0 99.0 99.0 0.0 0.0 0.0
12 14 816.9728 231.6168 273.08819536 -18.439876323 -5.2534 0.1832 126.292 21.301389999999998 1.8019999999999998 2.21 50.73357 273.0881954 -18.4398763 10.9016542 9.96896267 9.02165127 0.9326915299999996 1.8800029299999998 0.9473114000000002
13 15 1399.538 252.7162 273.3889456 -18.17542585 -5.2757 0.1752 128.9116 20.80235 2.137 1.03 50.727940000000004 273.3889456 -18.1754258 99.0 99.0 99.0 0.0 0.0 0.0
14 16 1128.7349 270.4328 273.26285951 -18.311377230999998 -5.8789 0.1129 224.679 23.35347 1.125 2.27 51.04952 273.26285950000005 -18.3113772 8.82067394 8.82758522 8.79365444 -0.006911279999998854 0.02701950000000153 0.03393078000000038
15 17 54.9084 289.7646 272.73568118 -18.825557057 -4.2363 0.426 49.4914 19.41516 0.99 4.05 52.29398 272.7356812 -18.8255571 9.201243400000001 9.14575481 9.00575161 0.05548859000000128 0.19549179000000017 0.14000319999999888
16 18 1212.9957 310.3832 273.32457129 -18.290684807999998 -4.7474 0.2752 79.2401 20.08286 1.474 3.01 50.84431 273.3245713 -18.2906848 10.4218683 10.277428599999999 10.012691499999999 0.14443970000000128 0.4091768000000009 0.2647370999999996
